,No.,Kode,Company,Sector,Currency,Listing,Share,Price,Aset,Liabilities,Equity,Revenue,Gross Profit,Net Profit,Cash of the Beginning Period,Cash From Operating,Cash From Investing,Cash From Financing,Dividen Per Share,Market Cap,NPM,EPS,DY,ROA,ROE,Book Value,PBV,PER,DER
13,14,BRPT,Barito Pacific Tbk,Basic Materials,IDR,1993,93747218044,745,141462787884000,84032093596000,57430694288000,20649225058000,4279014124000,472462518000,24613669872000.0,-5078622714000.0,-7100611430000.0,3990950678000.0,1.59,69841677442780,0.02288039946646602,5.039749742528371,0.002134228187919463,0.003339836044991712,0.008226655168588478,612.6122511821637,1.2161036586558078,147.8248004485723,1.4631913236953205
14,15,BUKA,PT Bukalapak.com Tbk,Technology,IDR,2021,103080325417,212,27100773843000,825201619000,26275572224000,2181166246000,549950000000,-389273897000,16256067299000.0,-155082495000.0,-2190868814000.0,-17079251000.0,0.0,21853028988404,-0.1784705304851852,-3.7764131557136214,0.0,-0.01436394027916467,-0.014815049266346284,254.90385403523993,0.8316861304525095,-56.13792539602007,0.03140565739026092
15,16,CPIN,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals,IDR,1991,16398000000,5275,42905903000000,15190579000000,27715324000000,30891883000000,4129007000000,1378873000000,1692731000000.0,-695920000000.0,-778866000000.0,1057993000000.0,0.0,86499450000000,0.04463544679358005,84.08787657031345,0.0,0.032137139731099475,0.04975128560647532,1690.164898158312,3.120997250474142,62.73199199636225,0.5480931415414808
16,17,EMTK,Elang Mahkota Teknologi Tbk,Technology,IDR,2010,61241751483,710,43162809760000,4347961375000,38814848385000,7754118674000,1368402539000,-444182246000,8712637748000.0,-76235083000.0,-365401468000.0,-319975821000.0,10.0,43481643552930,-0.057283395402416046,-7.252931786630888,0.014084507042253521,-0.010290855680383307,-0.011443616669430409,633.7971636192435,1.1202322142712138,-97.89144871163985,0.11201799197753069
17,18,ESSA,Surya Esa Perkasa Tbk,Basic Materials,IDR,2012,17226975700,580,11588523482206,3512003689700,8076519792506,2527071838544,465577619826,59756854322,2216621230274.0,1359277128550.0,-13537975220.0,-2190963764286.0,45.0,9991645906000,0.023646678108062636,3.468795414972345,0.07758620689655173,0.005156554621799381,0.0073988371052401665,468.8298127979597,1.237122691789971,167.20501805801194,0.4348412162573662
18,19,EXCL,PT XL Axiata Tbk,Infrastructures,IDR,2005,13128430665,1955,83694707000000,57818934000000,25875773000000,15764527000000,15764527000000,650680000000,5184113000000.0,8762408000000.0,-5159543000000.0,-7243428000000.0,42.0,25666081950075,0.04127494595936814,49.5626641602102,0.021483375959079284,0.007774446238278844,0.025146301909512038,1970.9722860466507,0.9918962401654629,39.44501436969785,2.2344814201299417
19,20,GGRM,Gudang Garam Tbk,Consumer Non-Cyclicals,IDR,1990,1924088000,27625,84857506000000,26022228000000,58835278000000,55851079000000,7933321000000,3288217000000,3709026000000.0,1089283000000.0,-2245680000000.0,1211538000000.0,1200.0,53152931000000,0.058874726484693336,1708.9743296564397,0.04343891402714932,0.03874986615798018,0.05588852660813466,30578.267729958297,0.9034193906587813,16.164666443850876,0.4422895392794779
20,21,GOTO,PT Goto Gojek Tokopedia Tbk,Technology,IDR,2022,1184363929502,110,133210975000000,15890121000000,117320854000000,6883626000000,4308553000000,-7161506000000,29009177000000.0,-3108034000000.0,25958000000.0,-219003000000.0,0.0,130280032245220,-1.0403682594028205,-6.046710661824412,0.0,-0.05376063045856394,-0.06104205480809064,99.05811134363991,1.1104592900868246,-18.19170887313646,0.13544157290229067
21,22,HRUM,Harum Energy Tbk,Energy,IDR,2010,13518100000,1420,20541249394028,2766666246916,17774583147112,7396527989510,3806985526828,2263053042822,5567715332630.0,2648589474652.0,-1548742667230.0,-1295968879128.0,75.1,19195702000000,0.30596153303705964,167.40910651807576,0.05288732394366197,0.11017114876566086,0.12731961273531744,1314.872885029109,1.0799523027418454,8.482214794251217,0.15565294690837944
22,23,ICBP,Indofood CBP Sukses Makmur Tbk,Consumer Non-Cyclicals,IDR,2010,11661908000,11325,119933338000000,59093775000000,60839563000000,34478639000000,12530314000000,5725142000000,15741068000000.0,4379053000000.0,-1545795000000.0,-1070784000000.0,188.0,132071108100000,0.16604895570268885,490.9266991301938,0.016600441501103753,0.047736034829615095,0.0941022866978844,5216.947604114181,2.1708096111735715,23.068617005482135,0.9713050535882383
